"workdays_in_a_week","PPA Salary/Allowance"
"4 Days","< 30,000"
"5 Days","40,000 - 50,000"
"5 Days",Not being Paid
"4 Days","30,000 - 40,000"
"4 Days","< 30,000"
"4 Days","< 30,000"
"4 Days","30,000 - 40,000"
"4 Days","< 30,000"
"4 Days","< 30,000"
"5 Days","40,000 - 50,000"
"5 Days",Not being Paid
"4 Days","< 30,000"
"5 Days","< 30,000"
"4 Days","30,000 - 40,000"
"2 Days","30,000 - 40,000"
"4 Days","< 30,000"
"5 Days","40,000 - 50,000"
"5 Days","< 30,000"
"5 Days","< 30,000"
"4 Days","40,000 - 50,000"
"5 Days","< 30,000"
"4 Days","< 30,000"
"4 Days","< 30,000"
"5 Days","< 30,000"
"4 Days","< 30,000"
"4 Days",Not being Paid
"5 Days",Not being Paid
"4 Days","< 30,000"
"4 Days","< 30,000"
"5 Days","< 30,000"
"5 Days","30,000 - 40,000"
"4 Days",Not being Paid
"5 Days",Not being Paid
"4 Days","< 30,000"
"4 Days","30,000 - 40,000"
"4 Days","50,000 >"
"5 Days","30,000 - 40,000"
"3 Days","30,000 - 40,000"
"5 Days","< 30,000"
"1 Day","30,000 - 40,000"
"4 Days","30,000 - 40,000"
"5 Days","< 30,000"
"5 Days","< 30,000"
"4 Days","< 30,000"
"3 Days",Not being Paid
"4 Days",Not being Paid
"4 Days",Not being Paid
"4 Days","< 30,000"
"4 Days","40,000 - 50,000"
"4 Days","< 30,000"
"4 Days","40,000 - 50,000"
"2 Days","< 30,000"
"2 Days",Not being Paid
"5 Days","< 30,000"
"1 Day","30,000 - 40,000"
"4 Days","50,000 >"
"4 Days","< 30,000"
"2 Days","50,000 >"
"4 Days","40,000 - 50,000"
"5 Days","40,000 - 50,000"
"5 Days",Not being Paid
"4 Days","< 30,000"
"5 Days",Not being Paid
"5 Days",Not being Paid
"4 Days","< 30,000"
"5 Days","< 30,000"
"5 Days","< 30,000"
"4 Days","< 30,000"
"4 Days","< 30,000"
"4 Days","< 30,000"
"2 Days","30,000 - 40,000"
"5 Days","< 30,000"
"4 Days","< 30,000"
"3 Days","< 30,000"
"4 Days","< 30,000"
"4 Days","30,000 - 40,000"
"4 Days","< 30,000"
"4 Days","< 30,000"
"4 Days","< 30,000"
"4 Days","30,000 - 40,000"
"5 Days",Not being Paid
"4 Days","< 30,000"
"4 Days","30,000 - 40,000"
"4 Days","< 30,000"
"3 Days",Not being Paid
"5 Days","40,000 - 50,000"
"5 Days","30,000 - 40,000"
"4 Days",Not being Paid
"3 Days","50,000 >"
"4 Days","< 30,000"
"4 Days",Not being Paid
"3 Days","< 30,000"
"5 Days","< 30,000"
"5 Days","< 30,000"
"5 Days","30,000 - 40,000"
"4 Days","40,000 - 50,000"
"4 Days","40,000 - 50,000"
"4 Days","40,000 - 50,000"
"4 Days","30,000 - 40,000"
"0 Days",Not being Paid
"5 Days","< 30,000"
"5 Days","< 30,000"
"4 Days","40,000 - 50,000"
"5 Days","< 30,000"
"4 Days","50,000 >"
"5 Days","< 30,000"
"4 Days","< 30,000"
"5 Days",Not being Paid
"4 Days","< 30,000"
"4 Days",Not being Paid
"4 Days","< 30,000"
"4 Days","< 30,000"
"0 Days",Not being Paid
"3 Days","50,000 >"
"5 Days","30,000 - 40,000"
"5 Days","< 30,000"
